item_id,phase,type,difficulty,stem,option_a,option_b,option_c,option_d,correct_option
A01,A,conditional,hard,"Rules: If a device is a Lorn, then it needs charging. If it needs charging, then it is not fully powered. If it is not fully powered, then it cannot run Task X. This device is a Lorn. Which must be true?",It cannot run Task X,It can run Task X,It is fully powered,It never needs charging,0
A02,A,conditional,medium,"Rules: If someone is a Zorp, then they wear blue. No one who wears blue is a Nim. Alex is a Zorp. Which statement must be true?",Alex wears blue,Alex is a Nim,Alex wears blue and is a Nim,Alex is not a Zorp,0
A03,A,conditional,easy,"Rule: If someone is a Zorp, then they wear blue. Alex is a Zorp. What must be true?",Alex wears blue,Alex is not a Zorp,Alex wears red,Alex is a Nim,0
A04,A,conditional,medium,"Rules: If a drink is a Surn, then it is cold. If it is cold, then it condenses. This drink is a Surn. Which must be true?",It condenses,It evaporates instantly,It is hot,It is not a Surn,0
A05,A,conditional,medium,"Rules: If a creature is a Mip, then it has stripes. If it has stripes, then it is not a Gaf. Lina's creature is a Mip. Which must be true?",It is not a Gaf,It is a Gaf,It has no stripes,It is not a Mip,0
A06,A,conditional,medium,"Rules: If someone is a Vek, then they like tea. If someone likes tea, then they own a mug. Pat is a Vek. Which must be true?",Pat owns a mug,Pat does not own a mug,Pat dislikes tea,Pat is not a Vek,0
A07,A,syllogism,medium,Premises: Some Beks are Lins. All Lins are Javs. Which conclusion is valid?,Some Beks are Javs,All Beks are Javs,No Beks are Javs,All Javs are Beks,0
A08,A,conditional,medium,"Rules: If a box is a Nux, then it is sealed. If it is sealed, then it is safe. This box is a Nux. Which must be true?",It is safe,It is unsafe,It is unsealed,It is empty,0
A09,A,syllogism,hard,Premises: No Fens are Gols. All Haps are Fens. Which conclusion must be true?,No Haps are Gols,Some Haps are Gols,All Gols are Haps,Some Fens are Gols,0
A10,A,conditional,easy,"Rules: If a card is a Fep, then it is round. This card is a Fep. What must be true?",It is round,It is square,It is red,It is heavy,0
A11,A,conditional,medium,"Rules: If a file is a Rax, then it is encrypted. If a file is encrypted, then it requires a key. This file is a Rax. Which must be true?",It requires a key,It is not encrypted,It is corrupted,It has no key,0
A12,A,conditional,easy,"Rules: If a person is a Vek, then they like tea. Sam is a Vek. What must be true?",Sam likes tea,Sam dislikes tea,Sam is not a Vek,Sam likes coffee,0
A13,A,syllogism,easy,Premises: All Mors are Tavs. Alex is a Mor. Which conclusion must be true?,Alex is a Tav,Alex is not a Tav,Some Tavs are Mors,No Tavs are Mors,0
A14,A,syllogism,medium,Premises: All Zims are Pels. No Pels are Rufs. Which statement must be true?,No Zims are Rufs,Some Zims are Rufs,All Rufs are Zims,Some Pels are Rufs,0
A15,A,conditional,medium,"Rules: If a tool is a Kelm, then it is metal. If a tool is metal, then it is conductive. This tool is a Kelm. Which must be true?",It is conductive,It is wooden,It is non-conductive,It is plastic,0
B01,B,conditional,easy,"Rule: If something is a Plim, then it is smooth. This object is a Plim. What must be true?",It is smooth,It is rough,It is heavy,It is broken,0
B02,B,conditional,medium,"Rules: If a lamp is a Nori, then it is on. If it is on, then it emits light. This lamp is a Nori. Which must be true?",It emits light,It emits no light,It is off,It is unplugged,0
B03,B,conditional,easy,"Rule: If a person is a Dax, then they carry a badge. Mira is a Dax. What must be true?",Mira carries a badge,Mira has no badge,Mira is not a Dax,Mira carries a map,0
B04,B,conditional,hard,"Rules: If a route is a Tern, then it is short. If it is short, then it is not scenic. If it is not scenic, then it avoids hills. This route is a Tern. Which must be true?",It avoids hills,It includes hills,It is scenic,It is long,0
B05,B,syllogism,medium,Premises: Some Zals are Bims. All Bims are Cets. Which conclusion is valid?,Some Zals are Cets,All Zals are Cets,No Zals are Cets,All Cets are Zals,0
B06,B,conditional,medium,"Rules: If a route is a Tern, then it is short. If it is short, then it saves time. This route is a Tern. Which must be true?",It saves time,It wastes time,It is long,It is blocked,0
